"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28p_Abstract%3A.QT.business+process.QT.+OR+p_Abstract%3A.QT.process-oriented.QT.+OR+.QT.process+oriented.QT.+OR+p_Abstract%3A.QT.process-integrated.QT.+%29+AND+%28p_Abstract%3A.QT.elearning+OR+p_Abstract%3Alearning+OR+p_Abstract%3Ateaching+OR+p_Abstract%3A.QT.e-learning.QT.%29%29",2016/09/22 09:09:49
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Enhancing participant business process perception through business gaming","T. Lainema","Inst. for Adv. Manage. Syst. Res., Abo Akademi Univ., Turku, Finland","System Sciences, 2001. Proceedings of the 34th Annual Hawaii International Conference on","","2001","","","10 pp.","","Proposes the use of interactive, continuous business game constructions to be used as an educational tool to enhance participant business process perception (participants' understanding of the functioning of business processes). The proposal is based on the experiential learning theory and the present business process modelling discussion. The authors discuss how business game models could be enhanced to pay attention to the process nature of business operations. On the basis of this discussion the authors present a business game construction based on continuous processing. Furthermore, some preliminary findings of the game utilization in a university course are represented. The emphasis of the paper is on business process gaming, not business process simulation. The difference between these two is that the focus of simulation is on designing processes, but the focus of gaming is on facilitating business process perception of game participants. The paper also emphasises that organizational learning occurs when individuals within an organization tackle problems and learning and understanding business processes is an essential element for business process change projects to succeed.","","","10.1109/HICSS.2001.926194","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=926194","","Cognitive science;Computer science;Computer science education;Concrete;Electronic mail;Feedback;Game theory;Process design;Proposals;Testing","computer aided instruction;computer games;systems re-engineering","business game models;business gaming;business process change projects;continuous processing;educational tool;experiential learning theory;interactive continuous business game constructions;organizational learning;participant business process perception;university course","","0","","24","","","6-6 Jan. 2001","","IEEE","IEEE Conference Publications"
"Process-Service Interactions Using a SOA-BPM-Based Methodology","B. Patricia; G. Perez; R. Giandini; J. Diaz","Linti Fac. de Inf., UNLP, Buenos Aires, Argentina","Chilean Computer Science Society (SCCC), 2011 30th International Conference of the","","2011","","","100","107","Reducing the gap between the definition, modeling and management of business definition, modeling and management of business processes and the realization of the main processes functions through software services requires a methodological approach. Addressing such gap, this paper focuses on the interactions between the activities of a business process and the functionality provided by software services. It presents a meta-model to formally specify such interactions. The proposed meta-model is instantiated through a case study. Lessons learnt through the development of an example were used to define a graphic editor prototype, as an automated tool for managing interactions between business processes and software services. The proposed approach enables the alternative application of top-down and bottom-up analysis techniques for modeling processes and services, and assists developers with an integrated tool for modeling business processes and software services in a seamlessly combined way.","1522-4902;15224902","","10.1109/SCCC.2011.14","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6363388","Business Process Management;Business Process Management Notation;Meta-Modeling;Service Oriented Architecture;Software Engineering","Object oriented modeling;Organizations;Proposals;Service oriented architecture;Unified modeling language","business data processing;computer graphics;service-oriented architecture","SOA-BPM-based methodology;bottom-up analysis techniques;business process management;graphic editor prototype;process-service interactions;software services;top-down analysis techniques","","0","","33","","","9-11 Nov. 2011","","IEEE","IEEE Conference Publications"
"Using the CMM to evaluate student SE projects","H. Younessi; D. D. Grant","Swinburne Univ. of Technol., Hawthorn, Vic., Australia","Software Engineering: Education and Practice, 1996. Proceedings. International Conference","","1996","","","386","391","The Computer Science and Software Engineering degree at Swinburne has a strong emphasis on student projects. Students undertake a sequence of three such projects: a small team project in Ada in first year; a small team project with database orientation in second year; a large team project in Ada, with a real-time distributed system orientation in third year, after students have spent a year on placement in industry. Our experience has been that the first two projects have generally served their purpose quite well. The technical simplicity of the projects has not detracted from the process-oriented learning goals we have for our students, and the small team size (generally around four) has enabled management to proceed relatively smoothly. We are pleased to concur with the literature on the basic success of the small team project model. However the situation with the large final year projects has been rather different. To date (over three years) we have not had any project that we could happily describe as exemplar of our ideals. Often the student experience has been of desperate measures taken to ensure that software is delivered, quite against the principles of their software engineering education. Our desire to encourage the development of distributed real-time systems, integrating a variety of heterogenous commercial software products (such as Alsys Ada, Oracle, Telesoft TeleUse) has resulted in real-life frustration, as students have battled with technology rather than appreciated wise process. Further, we have not discovered an assessment scheme ideal for the purpose of the project. In summary, what promised to be an interesting learning experience for our students, aimed at consummating the thrust of the degree, has to some extent failed to deliver. We feel that we need to reconceptualise the large team project in our context. The paper describes an attempt to address the development of a framework for the conduct and assessment of large project subjects, inspired by the SEI Capability Maturity Model for Software. We observe that the primary requirements for projects concur well with the requirements for level 2 (Repeatable) in the CMM. We describe an action learning experiment, still in the embryonic stage, where we impose a CMM level 2 framework on the conduct of student projects. We describe an initial implementation, in the context of a coursework masters degree in Software Engineering","","","10.1109/SEEP.1996.534025","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=534025","","Capability maturity model;Computer science;Coordinate measuring machines;Distributed databases;Educational products;Embryo;Project management;Real time systems;Software engineering;Software measurement","computer science education;educational courses;software engineering","Ada team project;Capability Maturity Model;Swinburne University of Technology Computer Science and Software Engineering degree;coursework masters degree;database oriented team project;heterogenous commercial software products;industry placement;process-oriented learning goals;real-time distributed systems;small team project model;software engineering education;student experience;student software engineering project evaluation","","1","","6","","","24-27 Jan 1996","24 Jan 1996-27 Jan 1996","IEEE","IEEE Conference Publications"
"A Study on e-Government Policy in Mongolia","S. B. Sukhbaatar; U. Odgerel","Institute of Telecommunications and Information Engineering of Mongolian University of Science and Technology, sukh@mongol.net","6th Asia-Pacific Symposium on Information and Telecommunication Technologies","","2005","","","254","259","The government of Mongolia recognizes the importance of e-government in delivering public services to sparse population living in vast landlocked territory. Without clear vision and e-strategy, Mongolia may have difficulty in identifying what we need to do or how to prioritize our actions. This study reviews recent trends of the Mongolian e-government and presents the findings of the e-government initiatives that might affect government collaboration, citizen participation and public-private partnership. The findings of study suggest that Mongolian government must seriously take into reconsideration of working style, business process reengineering, financial arrangements and public organization cultures. Mongolia also must quickly learn western management techniques and create the basic skills for e-government. Furthermore, we should carefully study whether it fits Mongolian governance culture, tradition and society. It should become an integrated approach with good governance that improve public services, involve public-private partnership, build up citizen participation and promote open government","","","10.1109/APSITT.2005.203666","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1593473","ICT;e-government;government collaboration;public-private partnership and citizen participation","Business process re-engineering;Collaborative work;Electronic government","government data processing","Mongolia;business process reengineering;citizen participation;e-government policy;e-strategy;financial arrangements;government collaboration;open government;public organization cultures;public services;public-private partnership","","2","","16","","","10-10 Nov. 2005","","IEEE","IEEE Conference Publications"
"Process-oriented approach to an efficient off-line programming of industrial robots","E. Freund; D. Rokossa; J. Rossmann","Inst. of Robotics Res., Dortmund Univ., Germany","Industrial Electronics Society, 1998. IECON '98. Proceedings of the 24th Annual Conference of the IEEE","","1998","1","","208","213 vol.1","A major problem when using off-line programming systems in today's robot-based workcells is that for more complex tasks like for example, arc welding, general coating or laser-based paint-removal, the support by these programming tools is poor. Particularly, together with intricate workpieces designed from free-form surfaces (e.g. NURBS) the programming of the desired robot motion still requires a lot of manual, teach-in like work by the programmer. This paper presents two approaches which now support the programmer in a comprehensive manner to solve this problem efficiently","","","10.1109/IECON.1998.723992","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=723992","","Coatings;Orbital robotics;Programming profession;Robot motion;Robot programming;Robotics and automation;Service robots;Spline;Surface topography;Welding","industrial robots;motion control;path planning;robot programming;virtual reality","arc welding;automatic trajectory generation;coating;efficient off-line programming;free-form surfaces;industrial robots;intricate workpie;laser-based paint-removal;playback programming;process simulation;process-oriented approach;reach-in programming;robot motion programming;robot-based workcells;virtual reality","","18","","8","","","31 Aug-4 Sep 1998","31 Aug 1998-04 Sep 1998","IEEE","IEEE Conference Publications"
"Complementing AHP with Habitual Domains Theory to Identify Key Performance Indicators for Service Industry","T. L. Chen; K. L. Lin","associate professor in the Department of Industrial Engineering and Management at I-Shou University. No.1, Sec. 1, Syuecheng Rd., Dashu Township, Kaohsiung County 840, Taiwan. e-mail: tlchen@isu.edu.tw","2006 IEEE International Conference on Service Operations and Logistics, and Informatics","","2006","","","84","89","Beyond limited scope of sole financial performance evaluation, balanced scorecard (BSC) provides a comprehensive evaluation model which covers aspects of customers, learning and growth of employee, and internal business process, in addition to finance dimension. To achieve successful implementation of BSC system, selecting key performance indicators (KPIs) precisely is a critical cornerstone. Most applications select KPIs in a subjective manner, which may raise hesitation during implementation. This paper thus employees a structured approach complementing analytic hierarchy process (AHP) with Habitual Domains Theory in identifying KPIs, and weighting of each indicator objectively. Utilizing service industry as an example, the proposed model demonstrates a systematic way to achieve precise evaluation integrating both subjective and objective elements","","","10.1109/SOLI.2006.328987","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4125556","Analytical Hierarchy Process;Balanced Scorecard;Habitual Domains","Aggregates;Appraisal;Civil engineering;Decision making;Engineering management;Finance;Industrial engineering;Joining processes;Machine vision;Strategic planning","appraisal;financial management;performance evaluation;performance index;personnel;regression analysis;service industries","analytic hierarchy process;balanced scorecard;customers;employee growth;financial performance evaluation;habitual domains theory;internal business process;key performance indicators;learning;service industry","","0","","15","","","21-23 June 2006","","IEEE","IEEE Conference Publications"
"IMIS: a tool for developing MIS for Internet/intranet environment","P. P. Chakrabarti; A. K. Singh; S. Rai","Dept. of Comput. Sci. & Eng., Indian Inst. of Technol., Kharagpur, India","TENCON '98. 1998 IEEE Region 10 International Conference on Global Connectivity in Energy, Computer, Communication and Control","","1998","1","","17","20 vol.1","The Internet is becoming a de facto standard environment for the operation of most application software. A user (client) of the software uses a browser to operate it while the actual software may be located locally or remotely. Different techniques have evolved with time for implementation of such software within the basic client/server architecture. The initial development environment used a browser (as a client) and a Web server/HTML/CGI (as a server). Of late, technologies like CORBA, DCOM, etc., are becoming popular. Whatever the development environment or implementation technique, such software development is still a tedious job and requires the software developer to be an expert of various technologies. Such scenarios naturally demand a good development tool such that the whole development cycle is small and efficient and the pressure of learning different technologies for a software developer is reduced. We present our effort of designing and implementing such a tool, named IMIS. There are two major components in IMIS: the specification component and the implementation component. In the former, we specify the business process and the latter implements the specification. The core of the specification is the language in which the business process is specified and stored. The implementation component of IMIS will consist of the tools which produce the final customized MIS based on the specification which executes in an Internet/intranet environment","","","10.1109/TENCON.1998.797051","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=797051","","Application software;Business communication;Computer architecture;Computer science;Internet;Object oriented modeling;Programming;Software standards;Software tools;Web server","Internet;client-server systems;formal specification;intranets;management information systems","CGI;CORBA;DCOM;HTML;IMIS;Internet/intranet environment;MIS development;Web server;application software;browser;business process;client/server architecture;customized MIS;de facto standard environment;development cycle;development environment;development tool;implementation component;implementation technique;software development;specification component","","0","1","6","","","1998","17 Dec 1998-19 Dec 1998","IEEE","IEEE Conference Publications"
"An aspect-oriented extension to MiniJava and its implementation","X. Hu; Y. Zhang","Sch. of Software, Anhui Univ., Hefei, China","Computer Science & Education (ICCSE), 2011 6th International Conference on","","2011","","","1131","1135","Aspect-Oriented Programming (AOP) is a new programming paradigm. It is a further development of process oriented, object-oriented method. By introducing the concept of “Aspect”, AOP makes the separation of concerns better, decreases code tangling, solves problems of cross cutting concerns and improves the software quality and efficiency. This paper discusses adding aspect-oriented language facilities into the small object-oriented language MiniJava to get an aspect-oriented programming language “AspectMiniJava” and implementing it by the dynamic weaving technology based on the virtual machine. We use AspectMiniJava language and its compiler in the course of principles of compiler design to further enhance the teaching and practice effect.","","","10.1109/ICCSE.2011.6028833","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6028833","Aspect-oriented;Compiler;Teaching model;Virtual machine;Weaver","Education;Java;Monitoring;Programming;Support vector machines;Virtual machining;Weaving","Java;aspect-oriented programming;object-oriented methods;object-oriented programming;program compilers;virtual machines","AOP;AspectMiniJava language;aspect-oriented programming language facility;compiler design;cross cutting concern;dynamic weaving technology;object-oriented language MiniJava;object-oriented method;process oriented method;software efficiency;software quality;virtual machine","","1","","6","","","3-5 Aug. 2011","","IEEE","IEEE Conference Publications"
"Performance evaluation of customer knowledge management competence based on Balanced Scorecard","G. Chen; J. Zhang","Sch. of Econ. & Manage., Chongqing Three Gorges Univ., Chongqing, China","2013 6th International Conference on Information Management, Innovation Management and Industrial Engineering","","2013","3","","58","61","Customer relationship management (CRM) has a hot issue in the field of modern business management. In fact, CRM is the theory and mode of customer knowledge management in nature. The level of customer knowledge management competence is important to implementing CRM. Therefore, this paper aims to establish a comprehensive index system of customer knowledge management competence based on knowledge management and Balanced Scorecard, and then proposes a tentative theoretical model for performance evaluation. The hierarchical index system includes business process flow, customer, learning and growth as well as sales performance, these above abilities constituted customer knowledge management competence and then become the important source of sustainable competitive advantages. Lastly it constructs the comprehensive model to evaluate customer knowledge management competence by applying AHP. The study is expected to provided a theoretical base of customer knowledge management and provide practical implication for enhancing busyness CRM level.","2155-1456;21551456","","10.1109/ICIII.2013.6703653","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6703653","AHP;Balanced Scorecard;Customer knowledge management competence (CKMC);Evaluation model;Index system","Customer relationship management;Educational institutions;Eigenvalues and eigenfunctions;Indexes;Knowledge management;Organizations","analytic hierarchy process;customer relationship management;knowledge management;performance evaluation","AHP;CRM;analytic hierarchy process;balanced scorecard;business process flow;customer knowledge management competence;customer relationship management;hierarchical index system;performance evaluation;sales performance","","0","","5","","","23-24 Nov. 2013","","IEEE","IEEE Conference Publications"
"Impact of Business Service Modes on Distribution Systems: A Reinforcement Learning Approach","M. Qiu; H. Ding; J. Dong; C. Ren; W. Wang","IBM China Research Laboratory","IEEE International Conference on Services Computing (SCC 2007)","","2007","","","294","299","In this paper we identify several typical business service modes in a general distribution system composed of a single distributor and multiple retailers. For different service models, the business process can be different and each member of the distribution system may observe different level of information. Each member makes decisions to minimize its long-run-average cost or maximize its profit. A reinforcement learning algorithm is applied to obtain the decision policies and system costs. By comparing the system costs in various business service modes, we show numerically the impact of different business service modes on the distribution system. The results provide managerial insights into actual decision making in distribution systems.","","","10.1109/SCC.2007.69","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4278670","","Agricultural products;Collaboration;Companies;Costs;Decision making;Information technology;Inventory management;Laboratories;Learning;Stochastic processes","business data processing;learning (artificial intelligence)","business service modes;decision policies;distribution systems;long run average cost;multiple retailers;reinforcement learning algorithm;single distributor;system costs","","1","","10","","","9-13 July 2007","","IEEE","IEEE Conference Publications"
"Opportunistic Adversaries: On Imminent Threats to Learning-Based Business Automation","M. Tatsubori; S. Hido","IBM Res. - Tokyo, Tokyo, Japan","2012 Annual SRII Global Conference","","2012","","","120","129","False positives and negatives are inevitable in real-world classification problems. In general, machine-learning-based business process automation is still viable with reduced classification accuracy due to such false decisions, thanks to business models that replace human decision processes with automated decision processes covering the costs of introducing automation and the losses from rare mistakes by the automation with the profits from relatively large savings in human-factor costs. However, under certain conditions, it is possible for attackers to outsmart a classifier at a reasonable cost and thus destroy the business model that the learner system depends on. Attackers may eventually detect the misclassification cases they can benefit from and try to create similar inputs that will be misclassified by the unaware learner system. We call adversaries of this type ""opportunistic adversaries"". This paper specifies the environmental patterns that can expose vulnerabilities to opportunistic adversaries and presents some likely business scenarios for these threats. Then we propose a countermeasure algorithm to detect such attacks based on change detection in the post-classification data distributions. Experimental results show that our algorithm has higher detection accuracy than other approaches based on outlier detection or change-point detection.","2166-0778;21660778","","10.1109/SRII.2012.24","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6310988","Anomaly detection;Machine learning;Opportunistic adversary","Automation;Business;Decision trees;Humans;Insurance;Machine learning;Training","business data processing;learning (artificial intelligence);pattern classification;security of data","change-point detection;countermeasure algorithm;human decision processes;imminent threats;machine-learning-based business process automation;misclassification cases;opportunistic adversaries;outlier detection;post-classification data distributions;real-world classification problems;reduced classification accuracy","","0","","20","","","24-27 July 2012","","IEEE","IEEE Conference Publications"
